Dataset ID,Index,Area,Row Index,Beginning X,Ending X,FWHM,Center,Height
Spot 9_mz 55_11_B,1,171190.6595,511,50.9,51.2,0.100498896,51,1695965.405
Spot 9_mz 55_11_G,1,200897.6291,511,50.9,51.2,0.1006035,51,1986336.582
Spot 9_mz 55_11_R,1,162903.7714,511,50.9,51.2,0.100928017,51,1606712.264
Spot 9_mz 55_12_B,1,151879.68,511,50.9,51.2,0.100658738,51,1502412.8
Spot 9_mz 55_12_G,1,160141.8971,511,50.9,51.2,0.100564522,51,1585034.971
Spot 9_mz 55_98_B,1,144179.2,511,50.9,51.2,0.100729358,51,1423067.429
Spot 10_65_2_B,1,168875.0829,511,50.9,51.2,0.100455452,51,1675164.098
Spot 10_65_2_G,1,186730.7886,511,50.9,51.2,0.100611647,51,1848115.2
Spot 10_65_2_R,1,186368,511,50.9,51.2,0.100671451,51,1842653.867
Spot 10_65_3_R,1,186313.9019,511,50.9,51.2,0.100848323,51,1838099.321
Spot 10_65_4_G,1,181764.5851,511,50.9,51.2,0.100956379,51,1784144.239
Spot 10_65_4_R,1,159843.9024,511,50.9,51.2,0.100852557,51,1576060.878
Spot 10_65_5_B,1,118756.6933,511,50.9,51.2,0.100490131,51,1175825.067
Spot 10_65_5_G,1,134381.568,511,50.9,51.2,0.101004635,51,1319895.04
Spot 10_65_5_R,1,173740.8688,511,50.9,51.2,0.102273339,51,1667292.215
Spot 10_65_6_B,1,114505.9556,511,50.9,51.2,0.100484289,51,1133772.8
Spot 10_65_6_G,1,87937.39636,511,50.9,51.2,0.100977092,51,866266.7636
Spot 10_65_6_R,1,80318.00889,511,50.9,51.2,0.100786867,51,792985.6
Spot 10_65_59_G,1,174540.8,511,50.9,51.2,0.101058198,51,1713152
Spot 10_65_64_B,1,210462.5404,511,50.9,51.2,0.100811121,51,2073007.158
Spot 10_65_64_G,1,179838.4941,511,50.9,51.2,0.101418246,51,1752766.745
Spot 10_65_65_B,1,225559.4918,511,50.9,51.2,0.100873596,51,2228224
Spot 10_65_65_G,1,202219.52,511,50.9,51.2,0.100764193,51,1999667.2
Spot 10_65_66_B,1,221240.4966,511,50.9,51.2,0.10058808,51,2190559.632
Spot 10_65_66_G,1,158316.2514,511,50.9,51.2,0.100662797,51,1564437.943
Spot 10_65_66_R,1,115383.0788,511,50.9,51.2,0.100611661,51,1143901.091
Spot 10_65_67_B,1,214448.3556,511,50.9,51.2,0.100652901,51,2120615.506
Spot 10_65_67_R,1,184423.8423,511,50.9,51.2,0.100870482,51,1818393.239
Spot 10_65_70_G,1,206645.7924,511,50.9,51.2,0.100822641,51,2034104.709
Spot 10_65_77_G,1,99537.61882,511,50.9,51.2,0.100669945,51,985353.0353
Spot 10_65_77_R,1,110919.68,511,50.9,51.2,0.100753637,51,1095270.4
Spot 15_23_10_G,1,184320,511,50.9,51.2,0.101244313,51,1809261.714
Spot 15_23_10_R,1,158124.6512,511,50.9,51.2,0.100889722,51,1556098.977
Spot 15_23_31_G,1,176878.9333,511,50.9,51.2,0.101813406,51,1706666.667
Spot 15_23_32_B,1,182293.5579,511,50.9,51.2,0.100924272,51,1790167.579
Spot 15_23_32_G,1,203863.7714,511,50.9,51.2,0.100465177,51,2022253.714
Spot 15_23_32_R,1,209387.52,511,50.9,51.2,0.101019493,51,2057830.4
Spot 15_23_70_B,1,192569.1535,511,50.9,51.2,0.100646272,51,1900544
Spot 15_23_70_G,1,46858.24,511,50.9,51.2,0.10071557,51,462028.8
Spot 15_23_71_B,1,220637.8667,511,50.9,51.2,0.100357449,51,2190774.857
Spot 15_23_71_R,1,262888.7273,511,50.9,51.2,0.101228823,51,2576756.364
Spot 15_23_72_B,1,279810.2261,511,50.9,51.2,0.100412372,51,2778156.522
Spot 15_23_73_B,1,269740.2182,511,50.9,51.2,0.101082993,51,2645271.273
Spot 15_23_73_R,1,258444.3871,511,50.9,51.2,0.100798119,51,2543219.613
Spot 15_23_75_R,1,274621.0462,511,50.9,51.2,0.100513367,51,2717223.385
Spot 15_23_89_R,1,179049.2981,511,50.9,51.2,0.10038513,51,1773181.585
Spot 15_23_107_B,1,175668.4488,511,50.9,51.2,0.100696251,51,1734306.341
Spot 15_23_108_R,1,198012.3429,511,50.9,51.2,0.100360289,51,1959058.286
Spot 15_23_115_G,1,82477.75319,511,50.9,51.2,0.10150418,51,803164.5957
Spot 15_23_115_R,1,107267.0118,511,50.9,51.2,0.101501331,51,1044720.941
Spot 15_23_119_B,1,156552.7881,511,50.9,51.2,0.101233209,51,1529825.433
Spot 16_mz23_9_B,1,62146.2069,511,50.9,51.2,0.100369004,51,614682.4828
Spot 16_mz23_9_G,1,41831.48936,511,50.9,51.2,0.100167785,51,416920.5106
Spot 16_mz23_9_R,1,121475.6571,511,50.9,51.2,0.100587469,51,1203053.714
Spot 16_mz23_10_B,1,101101.2683,511,50.9,51.2,0.100643347,51,1000622.829
Spot 16_mz23_10_G,1,116432.1032,511,50.9,51.2,0.100695306,51,1148994.065
Spot 16_mz23_10_R,1,116447.763,511,50.9,51.2,0.100638642,51,1149307.259
Spot 16_mz23_11_B,1,103109.9733,511,50.9,51.2,0.101089804,51,1013623.467
Spot 16_mz23_11_G,1,140008.7273,511,50.9,51.2,0.100760162,51,1382213.818
Spot 16_mz23_11_R,1,123394.9257,511,50.9,51.2,0.100936783,51,1213352.229
Spot 16_mz23_119_B,1,127795.2,511,50.9,51.2,0.100360023,51,1268849.778
Spot 16_mz23_119_R,1,132926.7925,511,50.9,51.2,0.100566662,51,1316902.642
Spot 9_mz 55_11_B,1,42288.43243,381,37.9,38.1,0.05,38,422441.5135
Spot 9_mz 55_11_G,1,53441.62909,381,37.9,38.1,0.050224719,38,532628.9455
Spot 9_mz 55_11_R,1,44758.92747,381,37.9,38.1,0.050080775,38,446509.011
Spot 9_mz 55_12_B,1,37519.36,381,37.9,38.1,0.05,38,373555.2
Spot 9_mz 55_12_G,1,41474.92571,381,37.9,38.1,0.05,38,414749.2571
Spot 9_mz 55_98_B,1,36793.78286,381,37.9,38.1,0.05,38,367937.8286
Spot 10_65_2_B,1,45595.47317,381,37.9,38.1,0.050088028,38,454755.9024
Spot 10_65_2_G,1,44424.04571,381,37.9,38.1,0.050105932,38,442836.1143
Spot 10_65_2_R,1,45765.97333,381,37.9,38.1,0.050180072,38,456567.4667
Spot 10_65_3_R,1,48224.60377,381,37.9,38.1,0.050064267,38,481627.7736
Spot 10_65_4_G,1,51915.27164,381,37.9,38.1,0.050047214,38,518419.1045
Spot 10_65_4_R,1,41932.38374,381,37.9,38.1,0.050127714,38,418258.2114
Spot 10_65_5_B,1,35252.90667,381,37.9,38.1,0.05,38,352256
Spot 10_65_5_G,1,33849.344,381,37.9,38.1,0.05,38,338165.76
Spot 10_65_5_R,1,45205.74624,381,37.9,38.1,0.05,38,451705.1183
Spot 10_65_6_B,1,29491.2,381,37.9,38.1,0.05,38,294912
Spot 10_65_6_G,1,25737.77455,381,37.9,38.1,0.05,38,257377.7455
Spot 10_65_6_R,1,24867.27111,381,37.9,38.1,0.05,38,248308.6222
Spot 10_65_59_G,1,44697.6,381,37.9,38.1,0.050114943,38,446464
Spot 10_65_64_B,1,52773.72632,381,37.9,38.1,0.050109409,38,526587.5088
Spot 10_65_64_G,1,42341.39608,381,37.9,38.1,0.050152439,38,422771.451
Spot 10_65_65_B,1,57671.68,381,37.9,38.1,0.05,38,575945.7882
Spot 10_65_65_G,1,44154.88,381,37.9,38.1,0.05009311,38,440729.6
Spot 10_65_66_B,1,62899.49425,381,37.9,38.1,0.05,38,628994.9425
Spot 10_65_66_G,1,43347.38286,381,37.9,38.1,0.050328228,38,430665.1429
Spot 10_65_66_R,1,36044.8,381,37.9,38.1,0.05,38,360448
Spot 10_65_67_B,1,55907.87161,381,37.9,38.1,0.050145773,38,556651.4568
Spot 10_65_67_R,1,45967.50423,381,37.9,38.1,0.05,38,458752
Spot 10_65_70_G,1,54046.46076,381,37.9,38.1,0.050077042,38,539220.2532
Spot 10_65_77_G,1,33539.01177,381,37.9,38.1,0.05,38,335390.1177
Spot 10_65_77_R,1,31703.04,381,37.9,38.1,0.05,38,317030.4
Spot 15_23_10_G,1,48449.82857,381,37.9,38.1,0.05,38,484498.2857
Spot 15_23_10_R,1,40540.87442,381,37.9,38.1,0.050189394,38,403884.6512
Spot 15_23_31_G,1,56866.13333,381,37.9,38.1,0.05,38,567978.6667
Spot 15_23_32_B,1,40701.30526,381,37.9,38.1,0.05,38,407013.0526
Spot 15_23_32_G,1,49464.07619,381,37.9,38.1,0.05,38,494640.7619
Spot 15_23_32_R,1,44346.02667,381,37.9,38.1,0.05,38,443460.2667
Spot 15_23_70_B,1,30634.26977,381,37.9,38.1,0.05,38,306342.6977
Spot 15_23_70_G,1,9011.2,381,37.9,38.1,0.05,38,90112
Spot 15_23_71_B,1,47903.69524,381,37.9,38.1,0.05,38,477476.5714
Spot 15_23_71_R,1,53620.36364,381,37.9,38.1,0.05,38,536203.6364
Spot 15_23_72_B,1,54423.37391,381,37.9,38.1,0.05,38,541384.3478
Spot 15_23_73_B,1,48258.32727,381,37.9,38.1,0.05,38,482583.2727
Spot 15_23_73_R,1,50737.54839,381,37.9,38.1,0.05,38,507375.4839
Spot 15_23_75_R,1,57848.12308,381,37.9,38.1,0.050219298,38,577220.9231
Spot 15_23_89_R,1,46555.29057,381,37.9,38.1,0.050268097,38,463698.1132
Spot 15_23_107_B,1,31249.48293,381,37.9,38.1,0.050257732,38,311695.6098
Spot 15_23_108_R,1,42598.4,381,37.9,38.1,0.05,38,423643.4286
Spot 15_23_115_G,1,18754.45106,381,37.9,38.1,0.05,38,186847.3192
Spot 15_23_115_R,1,34310.02353,381,37.9,38.1,0.05,38,343100.2353
Spot 15_23_119_B,1,43674.36418,381,37.9,38.1,0.05011236,38,436254.5672
Spot 16_mz23_9_B,1,15367.06207,381,37.9,38.1,0.05,38,153670.6207
Spot 16_mz23_9_G,1,10736.74894,381,37.9,38.1,0.05,38,107367.4894
Spot 16_mz23_9_R,1,22001.37143,381,37.9,38.1,0.05,38,220013.7143
Spot 16_mz23_10_B,1,20939.55122,381,37.9,38.1,0.05,38,209395.5122
Spot 16_mz23_10_G,1,27377.13548,381,37.9,38.1,0.05,38,273771.3548
Spot 16_mz23_10_R,1,23058.96296,381,37.9,38.1,0.05,38,230589.6296
Spot 16_mz23_11_B,1,33204.90667,381,37.9,38.1,0.05,38,332049.0667
Spot 16_mz23_11_G,1,32321.16364,381,37.9,38.1,0.05046729,38,321722.1818
Spot 16_mz23_11_R,1,22094.99429,381,37.9,38.1,0.05,38,220949.9429
Spot 16_mz23_119_B,1,29127.11111,381,37.9,38.1,0.05,38,291271.1111
Spot 16_mz23_119_R,1,31964.2566,381,37.9,38.1,0.05,38,319024.3019
Spot 9_mz 55_11_B,2,447061.7946,552,54.9,55.2,0.117168675,55.1,2772881.297
Spot 9_mz 55_11_G,2,672280.2036,551,54.9,55.2,0.150578339,55,3438852.655
Spot 9_mz 55_11_R,2,545533.1868,551,54.9,55.2,0.150482079,55,3469086.945
Spot 9_mz 55_12_B,2,445644.8,552,54.9,55.2,0.11721144,55.1,2763980.8
Spot 9_mz 55_12_G,2,460390.4,552,54.9,55.2,0.125266809,55.1,2747830.857
Spot 9_mz 55_98_B,2,465258.7886,552,54.9,55.2,0.078300259,55.1,3398509.714
Spot 10_65_2_B,2,602251.8634,551,54.9,55.2,0.131505746,55,4330970.537
Spot 10_65_2_G,2,620204.6171,551,54.9,55.2,0.131785647,55,4455511.771
Spot 10_65_2_R,2,619861.3333,552,54.9,55.2,0.149784444,55.1,3103675.733
Spot 10_65_3_R,2,699782.2792,552,54.9,55.2,0.08808406,55.1,4871921.509
Spot 10_65_4_G,2,682821.5403,552,54.9,55.2,0.076948925,55.1,5039914.03
