Dataset ID,Index,Area,Row Index,Beginning X,Ending X,FWHM,Center,Height
Spot 10_65_1_B,1,43378.59048,381,37.9,38.1,0.05,38,433785.9048
Spot 10_65_1_G,1,54684.95738,381,37.9,38.1,0.05,38,545775.2131
Spot 10_65_1_R,1,45428.36364,381,37.9,38.1,0.05,38,454283.6364
Spot 15_23_124_G,1,30919.54872,381,37.9,38.1,0.05,38,307515.0769
Spot 15_23_124_R,1,28303.36,381,37.9,38.1,0.05,38,282624
Spot 15_23_17_B,1,48988.16,381,37.9,38.1,0.05,38,489881.6
Spot 15_23_18_G,1,36590.93333,381,37.9,38.1,0.05,38,364088.8889
Spot 15_23_28_B,1,7208.96,381,37.9,38.1,0.05,38,72089.6
Spot 15_23_28_G,1,12187.39649,381,37.9,38.1,0.05,38,121873.9649
Spot 15_23_28_R,1,16384,381,37.9,38.1,0.05,38,163840
Spot 15_23_29_B,1,52993.76552,381,37.9,38.1,0.05,38,528807.7241
Spot 15_23_29_G,1,39606.53913,381,37.9,38.1,0.05,38,396065.3913
Spot 15_23_29_R,1,44782.93333,381,37.9,38.1,0.05,38,446615.7037
Spot 15_23_36_G,1,3042.742857,381,37.9,38.1,0.05,38,30427.42857
Spot 15_23_36_R,1,8495.407407,381,37.9,38.1,0.05,38,84954.07407
Spot 15_23_37_B,1,43417.6,381,37.9,38.1,0.050480769,38,430080
Spot 15_23_37_G,1,60211.2,381,37.9,38.1,0.05,38,602112
Spot 15_23_37_R,1,60620.8,381,37.9,38.1,0.05,38,606208
Spot 15_23_55_G,1,8231.960975,381,37.9,38.1,0.05,38,81520.39024
Spot 15_23_61_B,1,41038.01905,381,37.9,38.1,0.05,38,408819.8095
Spot 15_23_61_G,1,47591.61905,381,37.9,38.1,0.05,38,474355.8095
Spot 15_23_61_R,1,41263.40741,381,37.9,38.1,0.05,38,412634.0741
Spot 15_23_62_B,1,50006.81739,381,37.9,38.1,0.05,38,495794.087
Spot 15_23_62_G,1,42832.45714,381,37.9,38.1,0.05,38,428324.5714
Spot 15_23_62_R,1,38836.14815,381,37.9,38.1,0.05,38,388361.4815
Spot 15_23_63_R,1,51072.88276,381,37.9,38.1,0.050223214,38,508468.9655
Spot 16_mz23_7_B,1,28001.74546,381,37.9,38.1,0.05,38,280017.4546
Spot 16_mz23_7_G,1,27743.57333,381,37.9,38.1,0.05,38,275251.2
Spot 10_65_1_B,1,175620.8762,511,50.9,51.2,0.100817285,51,1736704
Spot 10_65_1_G,1,212830.8459,511,50.9,51.2,0.100668119,51,2105746.885
Spot 10_65_1_R,1,165999.7091,511,50.9,51.2,0.100871981,51,1636910.545
Spot 15_23_124_G,1,134516.841,511,50.9,51.2,0.103094233,51,1268709.744
Spot 15_23_124_R,1,117841.92,511,50.9,51.2,0.101422682,51,1147699.2
Spot 15_23_17_B,1,177029.12,511,50.9,51.2,0.10056444,51,1751449.6
Spot 15_23_18_G,1,126884.9778,511,50.9,51.2,0.100656509,51,1256106.667
Spot 15_23_28_B,1,35717.12,511,50.9,51.2,0.100703128,51,352256
Spot 15_23_28_G,1,57027.81754,511,50.9,51.2,0.101046489,51,558780.6316
Spot 15_23_28_R,1,79953.92,511,50.9,51.2,0.100837261,51,789708.8
Spot 15_23_29_B,1,225986.2069,511,50.9,51.2,0.100561073,51,2232743.724
Spot 15_23_29_G,1,207863.0957,511,50.9,51.2,0.100920198,51,2040164.174
Spot 15_23_29_R,1,210686.1037,511,50.9,51.2,0.100645196,51,2082588.444
Spot 15_23_36_G,1,7021.714286,511,50.9,51.2,0.103846154,51,65536
Spot 15_23_36_R,1,23180.32593,511,50.9,51.2,0.101075269,51,228162.3704
Spot 15_23_37_B,1,169984,511,50.9,51.2,0.100243309,51,1691648
Spot 15_23_37_G,1,206028.8,511,50.9,51.2,0.100402821,51,2043904
Spot 15_23_37_R,1,202547.2,511,50.9,51.2,0.100826446,51,1998848
Spot 15_23_55_G,1,36444.40976,511,50.9,51.2,0.1,51,362845.6585
Spot 15_23_61_B,1,212055.7714,511,50.9,51.2,0.100676585,51,2094031.238
Spot 15_23_61_G,1,200508.9524,511,50.9,51.2,0.100799756,51,1972321.524
Spot 15_23_61_R,1,174762.6667,511,50.9,51.2,0.101001855,51,1716072.296
Spot 15_23_62_B,1,212137.1826,511,50.9,51.2,0.100827211,51,2085754.435
Spot 15_23_62_G,1,226333.2571,511,50.9,51.2,0.100633919,51,2232905.143
Spot 15_23_62_R,1,198064.3556,511,50.9,51.2,0.100499378,51,1956370.963
Spot 15_23_63_R,1,234799.669,511,50.9,51.2,0.100741508,51,2311838.897
Spot 16_mz23_7_B,1,175159.8545,511,50.9,51.2,0.100964312,51,1718830.545
Spot 16_mz23_7_G,1,158815.5733,511,50.9,51.2,0.101282072,51,1555387.733
Spot 10_65_1_B,2,1016510.171,391,38.9,39.1,0.050311964,39,10066017.52
Spot 10_65_1_G,2,1041162.911,391,38.9,39.1,0.050452536,39,10300969.97
Spot 10_65_1_R,2,1024595.782,391,38.9,39.1,0.05028094,39,10129780.36
Spot 15_23_124_G,2,943382.3179,391,38.9,39.1,0.050080964,39,9354843.897
Spot 15_23_124_R,2,929873.92,391,38.9,39.1,0.050080114,39,9217638.4
Spot 15_23_17_B,2,1023672.32,391,38.9,39.1,0.050064527,39,10169548.8
Spot 15_23_18_G,2,951546.3111,391,38.9,39.1,0.050058072,39,9415338.667
Spot 15_23_28_B,2,302284.8,391,38.9,39.1,0.05,39,2924544
Spot 15_23_28_G,2,377521.8526,391,38.9,39.1,0.050046802,39,3688412.07
Spot 15_23_28_R,2,534528,391,38.9,39.1,0.05,39,5249433.6
Spot 15_23_29_B,2,1031966.014,391,38.9,39.1,0.050044053,39,10268813.24
Spot 15_23_29_G,2,1012246.261,391,38.9,39.1,0.05001418,39,10049803.13
Spot 15_23_29_R,2,999666.7259,391,38.9,39.1,0.050085932,39,9903217.778
Spot 15_23_36_G,2,335169.8286,391,38.9,39.1,0.05,39,3201901.714
Spot 15_23_36_R,2,425013.0963,391,38.9,39.1,0.050060314,39,4029250.37
Spot 15_23_37_B,2,968089.6,391,38.9,39.1,0.050085507,39,9596928
Spot 15_23_37_G,2,1053286.4,391,38.9,39.1,0.050058731,39,10473472
Spot 15_23_37_R,2,1030348.8,391,38.9,39.1,0.050080192,39,10231808
Spot 15_23_55_G,2,268457.8341,391,38.9,39.1,0.050159337,39,2515943.024
Spot 15_23_61_B,2,999892.1143,391,38.9,39.1,0.050094667,39,9908419.048
Spot 15_23_61_G,2,1020021.029,391,38.9,39.1,0.050030788,39,10142476.19
Spot 15_23_61_R,2,990443.1407,391,38.9,39.1,0.050062019,39,9796418.37
Spot 15_23_62_B,2,1012958.609,391,38.9,39.1,0.050085131,39,10058351.3
Spot 15_23_62_G,2,972741.4857,391,38.9,39.1,0.050146484,39,9615067.429
Spot 15_23_62_R,2,1005856.237,391,38.9,39.1,0.050036514,39,9978462.815
Spot 15_23_63_R,2,1028689.214,391,38.9,39.1,0.050066401,39,10223616
Spot 16_mz23_7_B,2,956378.7636,391,38.9,39.1,0.05,39,9529530.182
Spot 16_mz23_7_G,2,909858.1333,391,38.9,39.1,0.050072499,39,9052706.133
