Feature,Gain,Cover,Frequency
A_372.3,0.49535265514377735,0.3266687423768795,0.21052631578947367
A_119.1,0.1373360254581367,0.08912445878907314,0.017543859649122806
A_107.1,0.06045946587471307,0.05071824118495311,0.03508771929824561
A_189.1,0.05885112700654467,0.037847206930507464,0.07017543859649122
A_153.1,0.04672479546699747,0.04563909941316474,0.017543859649122806
A_386.3,0.04420567362070644,0.1680727737636698,0.03508771929824561
A_91.1,0.023884783200015646,0.01020242923352059,0.07017543859649122
A_184.1,0.015561822830071393,0.0034406934680364367,0.03508771929824561
A_149.1,0.014862571373050632,0.00499549761858327,0.07017543859649122
A_117.1,0.014682652271595034,0.007265454675667487,0.017543859649122806
A_176.1,0.012135102872885675,0.0047452898434110925,0.05263157894736842
A_370.3,0.010327398585559757,0.06727509480331442,0.03508771929824561
A_300.1,0.008203008547435355,0.001832322334646152,0.017543859649122806
A_213.1,0.007434557785494739,0.04744272756302775,0.03508771929824561
A_65.1,0.006480515132910491,0.0022023972237266674,0.03508771929824561
A_281.1,0.005901181423499615,0.0014798218335893658,0.017543859649122806
A_129.1,0.005540582214510413,0.025195040022331038,0.017543859649122806
A_128.1,0.0054903658086658735,0.08679937395113543,0.017543859649122806
A_228.1,0.005101748400378513,0.004366622860069969,0.03508771929824561
A_39,0.00414664033928506,0.0020185217834264193,0.03508771929824561
A_77.1,0.0040058860180934375,0.0014974637903370737,0.03508771929824561
A_135.1,0.0038988549429590756,0.0016152232342237468,0.017543859649122806
A_302.1,0.003824307696221797,0.0012317184685442753,0.017543859649122806
A_178.1,0.002396538532914191,0.0016376960583819097,0.017543859649122806
A_384.3,0.0019426290747940394,0.006033736108338528,0.017543859649122806
A_163.1,0.0012491103787835786,6.523526674406532e-4,0.017543859649122806
