Dataset ID,Index,Area,Row Index,Beginning X,Ending X,FWHM,Center,Height
Spot 15_23_105_G,1,30656.28445,381,37.9,38.1,0.05,38,305834.6667
Spot 15_23_105_G,2,816505.7422,391,38.9,39.1,0.050072688,39,8025975.467
Spot 15_23_105_G,3,640577.9911,411,40.8,41.2,0.109099561,41,5528325.689
Spot 15_23_105_G,4,519773.2978,431,42.9,43.2,0.150254323,43,2877758.578
Spot 15_23_105_G,1,138645.0489,511,50.9,51.2,0.100426441,51,1373343.289
Spot 15_23_105_G,2,373336.7467,552,54.9,55.2,0.133536015,55.1,2121910.044
Spot 15_23_105_G,3,207749.12,560,55.8,56.2,0.141355316,55.9,876726.0444
Spot 15_23_105_G,4,548609.1378,571,56.8,57.2,0.148528345,57,3587003.733
Spot 15_23_105_G,5,787742.72,582,57.9,58.2,0.051110893,58.1,7571592.533
Spot 15_23_105_G,6,107624.6756,631,62.9,63.2,0.101185111,63,1057314.133
Spot 15_23_105_G,7,189326.2222,651,64.9,65.2,0.107399198,65,1676265.244
Spot 15_23_105_G,5,112139.3778,672,66.8,67.2,0.093010753,67.1,755848.5333
Spot 15_23_105_G,8,127795.2,692,68.9,69.2,0.116503268,69.1,784975.6444
Spot 15_23_105_G,9,90148.40889,712,70.9,71.2,0.086178862,71.1,617494.7556
Spot 15_23_105_G,10,73473.13778,732,72.8,73.2,0.0865625,73.1,403410.4889
Spot 15_23_105_G,6,42161.49333,741,73.8,74.2,0.131322431,74,294183.8222
Spot 15_23_105_G,11,233963.52,771,76.9,77.2,0.113540599,77,1929671.111
Spot 15_23_105_G,7,125683.4844,792,78.7,79.6,0.197460317,79.1,616038.4
Spot 15_23_105_G,8,121023.1467,812,80.6,81.5,0.198981911,81.1,582542.2222
Spot 15_23_105_G,12,100270.08,842,84,84.2,0.057899628,84.1,907309.5111
Spot 15_23_105_G,13,58254.22222,851,84.9,85.2,0.157471264,85,291271.1111
Spot 15_23_105_G,9,70269.15556,862,85.7,86.3,0.146242524,86.1,442732.0889
Spot 15_23_105_G,10,45001.38667,871,86.8,87.2,0.152222222,87,273794.8444
Spot 15_23_105_G,14,197117.7244,912,90.9,91.2,0.089244186,91.1,1341303.467
Spot 15_23_105_G,15,17476.26667,960,95.8,96,0.052439024,95.9,125246.5778
Spot 15_23_105_G,11,53156.97778,981,97.7,98.3,0.188509244,98,278163.9111
Spot 15_23_105_G,12,38811.87556,991,98.8,99.3,0.158254879,99,221366.0444
Spot 15_23_105_G,16,82939.44889,1022,101.9,102.2,0.073540146,102.1,586911.2889
Spot 15_23_105_G,17,75584.85333,1032,102.8,103.2,0.121341463,103.1,436906.6667
Spot 15_23_105_G,13,90075.59111,1052,104.6,105.3,0.167661706,105.1,508268.0889
Spot 15_23_105_G,14,104711.9644,1072,107,107.3,0.130005413,107.1,854880.7111
Spot 15_23_105_G,15,42671.21778,1082,107.6,108.4,0.140384066,108.1,167480.8889
Spot 15_23_105_G,18,25923.12889,1101,109.8,110.2,0.163043478,110,126702.9333
Spot 15_23_105_G,19,50899.62667,1111,110.8,111.3,0.172187699,111,289814.7556
Spot 15_23_105_G,20,20898.70222,1120,111.8,112,0.050877193,111.9,168937.2444
Spot 15_23_105_G,21,75730.48889,1130,112.8,113.1,0.128699946,112.9,522831.6444
Spot 15_23_105_G,22,19151.07556,1142,113.8,114.2,0.172857143,114.1,80099.55556
Spot 15_23_105_G,23,5606.968889,1150,114.8,114.9,114.8462687,114.9,104857.6
Spot 15_23_105_G,24,160927.2889,1152,114.9,115.2,0.121666667,115.1,962651.0222
Spot 15_23_105_G,25,80463.64444,1172,116.8,117.2,0.123762376,117.1,431081.2444
Spot 15_23_105_G,26,45074.20444,1182,117.8,118.2,0.067575758,118.1,324767.2889
Spot 15_23_105_G,27,68739.98222,1192,118.8,119.2,0.084864865,119.1,457295.6444
Spot 15_23_105_G,28,82065.63555,1212,120.8,121.2,0.094578313,121.1,457295.6444
Spot 15_23_105_G,16,29855.28889,1221,121.8,122.2,0.2375,122,116508.4444
Spot 15_23_105_G,17,24029.86667,1231,122.8,123.3,0.206693712,123,110683.0222
Spot 15_23_105_G,18,64298.09778,1272,126.8,127.3,0.209355379,127.1,295640.1778
Spot 15_23_105_G,29,97648.64,1282,127.7,128.2,0.097761194,128.1,572347.7333
Spot 15_23_105_G,19,77696.56889,1292,128.8,129.3,0.278318977,129.1,324767.2889
Spot 15_23_105_G,30,56870.68444,1312,130.8,131.2,0.114634146,131.1,320398.2222
Spot 15_23_105_G,20,221438.8622,1330,132.8,133.1,0.110232041,132.9,1741801.244
Spot 15_23_105_G,21,21772.51556,1332,133.1,133.2,0,133.1,356807.1111
Spot 15_23_105_G,22,30437.83111,1342,133.8,134.2,0.161458333,134.1,135441.0667
Spot 15_23_105_G,31,128013.6533,1352,134.8,135.3,0.116955542,135.1,945174.7556
Spot 15_23_105_G,23,30146.56,1370,136.7,137.2,0.251973684,136.9,115052.0889
Spot 15_23_105_G,32,41870.22222,1392,138.7,139.2,0.122297297,139.1,231560.5333
Spot 15_23_105_G,33,48278.18667,1412,140.8,141.2,0.081617647,141.1,323310.9333
Spot 15_23_105_G,24,45292.65778,1452,144.8,145.2,0.099367089,145.1,228647.8222
Spot 15_23_105_G,25,25267.76889,1462,145.8,146.3,0.14745098,146.1,136897.4222
Spot 15_23_105_G,34,27743.57333,1472,147,147.2,0.1,147.1,209715.2
Spot 15_23_105_G,35,35607.89333,1491,148.8,149.2,0.167532468,149,151460.9778
Spot 15_23_105_G,26,65608.81778,1522,151.8,152.2,0.129642857,152.1,359719.8222
Spot 15_23_105_G,36,65608.81778,1522,151.8,152.2,0.129642857,152.1,359719.8222
Spot 15_23_105_G,37,31093.19111,1532,153,153.2,0.1,153.1,221366.0444
Spot 15_23_105_G,38,19369.52889,1552,155,155.2,0.097169811,155.1,150004.6222
Spot 15_23_105_G,39,19078.25778,1572,157,157.2,0.1,157.1,133984.7111
Spot 15_23_105_G,27,24685.22667,1582,157.8,158.4,0.214515455,158.1,106313.9556
Spot 15_23_105_G,40,8665.315555,1591,158.8,159,158.9102941,159,88837.68889
Spot 15_23_105_G,28,34078.72,1612,160.8,161.5,0.243061441,161.1,122333.8667
Spot 15_23_105_G,41,21554.06222,1632,163,163.2,0.1,163.1,148548.2667
Spot 15_23_105_G,42,80318.00889,1652,164.7,165.2,0.10619469,165.1,460208.3556
Spot 15_23_105_G,29,27015.39556,1712,170.8,171.5,0.289030207,171.1,96119.46667
Spot 15_23_105_G,30,33714.63111,1732,172.8,173.5,0.250995316,173.1,122333.8667
Spot 15_23_105_G,43,6844.871111,1751,174.8,175,174.9203125,175,74274.13333
Spot 15_23_105_G,44,33277.72444,1762,175.7,176.2,0.150909091,176.1,157286.4
Spot 15_23_105_G,45,45001.38667,1772,176.7,177.2,0.226712329,177.1,179131.7333
Spot 15_23_105_G,46,47477.19111,1782,177.8,178.2,0.081746032,178.1,300009.2444
Spot 15_23_105_G,47,10194.48889,1842,184,184.2,0.1,184.1,75730.48889
Spot 15_23_105_G,48,43326.57778,1892,188.7,189.2,0.137931034,189.1,209715.2
Spot 15_23_105_G,49,30874.73778,1912,190.7,191.2,0.124137931,191.1,148548.2667
Spot 15_23_105_G,50,11286.75556,1932,193,193.2,0.1,193.1,75730.48889
Spot 15_23_105_G,51,11796.48,1962,196,196.2,0.096666667,196.1,84468.62222
Spot 15_23_105_G,52,26578.48889,2022,201.7,202.2,0.0875,202.1,142722.8444
Spot 15_23_105_G,53,24685.22667,2032,202.6,203.2,0.094871795,203.1,107770.3111
Spot 15_23_105_G,31,23738.59555,2052,204.6,205.6,0.305769231,205.1,72817.77778
Spot 15_23_105_G,54,15437.36889,2132,213,213.3,0.157936508,213.1,106313.9556
Spot 15_23_105_G,55,14490.73778,2152,215,215.3,0.15320401,215.1,103401.2444
Spot 15_23_105_G,56,8956.586666,2172,217,217.3,0.157575758,217.1,55341.51111
Spot 15_23_105_G,57,22063.78667,2262,225.5,226.4,0.159426714,226.1,94663.11111
Spot 15_23_105_G,58,14927.64445,2282,227.7,228.3,0.215151515,228.1,62623.28889
Spot 15_23_105_G,59,12160.56889,2312,230.7,231.3,0.171428571,231.1,39321.6
Spot 15_23_105_G,33,12160.56889,2372,236.4,237.5,0.222222222,237.1,37865.24444
Spot 15_23_105_G,34,25704.67556,2392,238.6,239.4,0.191826923,239.1,96119.46667
Spot 15_23_105_G,35,10412.94222,2570,256.6,257.4,0.465,256.9,21845.33333
Spot 15_23_105_G,61,6407.964445,2610,260.9,261.3,0.264285714,260.9,26214.4
Spot 15_23_105_G,62,7864.32,2632,263,263.3,0.166666667,263.1,46603.37778
Spot 15_23_105_G,63,8374.044444,2652,265,265.3,0.144642857,265.1,56797.86667
Spot 15_23_105_G,36,8446.862224,2719,271.5,272.4,0.441269841,271.8,17476.26667
Spot 15_23_105_G,64,5461.333333,2762,276,276.3,0.176923077,276.1,29127.11111
Spot 15_23_105_G,65,3349.617778,2811,281,281.2,0.1,281,23301.68889
Spot 15_23_105_G,66,655.3600005,2866,286.5,286.7,0.066666667,286.5,5825.42222
Spot 15_23_105_G,67,2767.075556,2870,286.8,287,0.1,286.9,14563.55556
Spot 15_23_105_G,68,4004.977778,3002,299.9,300.2,0.125,300.1,20388.97778
Spot 15_23_105_G,69,4150.613334,3021,301.9,302.2,0.185714286,302,17476.26667
Spot 15_23_105_G,70,1601.991111,3359,335.60001,335.90001,0.15,335.80001,7281.77778
Spot 15_23_105_G,71,3203.982223,3370,336.40001,336.90001,336.8285814,336.90001,14563.55556
Spot 15_23_105_G,72,2184.533334,3429,342.50001,342.90001,0.08,342.80001,11650.84444
Spot 15_23_105_G,73,2257.351111,3449,344.60001,344.90001,0.06875,344.80001,16019.91111
Spot 15_23_105_G,74,2111.715555,3468,346.60001,346.90001,0.16,346.70001,8738.13333
Spot 15_23_105_G,75,2548.622222,3491,348.60001,349.00001,348.91001,349.00001,13107.2
Spot 15_23_105_G,76,1383.537778,3705,370.20001,370.40001,370.20001,370.40001,8738.13333
Spot 15_23_105_G,77,1019.448889,3723,372.20001,372.40001,0.1,372.20001,7281.77778
Spot 15_23_105_G,78,436.9066665,3843,384.20001,384.40001,0.05,384.20001,5825.42222
Spot 15_23_105_G,79,1456.355555,3864,386.20001,386.40001,0.1,386.30001,8738.13333
Spot 15_23_105_G,80,1237.902222,4088,408.70001,408.90001,0.1,408.70001,8738.13333
Spot 15_23_105_G,81,1092.266668,4856,485.00001,485.70001,0.15,485.50001,4369.06667
Spot 15_23_105_G,37,364.088889,5465,546.30001,546.60001,0.1,546.40001,2912.71111
Spot 15_23_105_G,82,291.271112,5962,596.10001,596.30001,0.1,596.10001,1456.35556
Spot 15_23_105_G,83,72.817778,6519,651.80001,652.00001,0.05,651.80001,1456.35556
Spot 15_23_105_R,1,26466.46154,381,37.9,38.1,0.050240385,38,263404.3077
Spot 15_23_105_R,2,884294.8923,391,38.9,39.1,0.05002907,39,8675958.154
Spot 15_23_105_R,3,627255.1385,411,40.8,41.2,0.114024985,41,5125671.385
Spot 15_23_105_R,4,502988.8,432,42.9,43.2,0.141616438,43.1,2703360
Spot 15_23_105_R,1,137751.6308,511,50.9,51.2,0.100370028,51,1367433.846
Spot 15_23_105_R,2,354272.4923,552,54.9,55.2,0.11625857,55.1,2203017.846
Spot 15_23_105_R,3,210786.4615,560,55.8,56.2,0.140404343,55.9,975478.1539
Spot 15_23_105_R,4,511558.8923,571,56.8,57.2,0.152633949,57,2946599.385
Spot 15_23_105_R,5,767023.2615,582,57.9,58.2,0.051087338,58.1,7342552.615
Spot 15_23_105_R,6,100635.5692,631,62.9,63.2,0.101765681,63,981779.6923
Spot 15_23_105_R,7,158420.6769,651,64.9,65.2,0.112685473,65,1317021.538
Spot 15_23_105_R,5,100572.5538,672,66.8,67.2,0.088141026,67.1,693169.2308
Spot 15_23_105_R,8,119792.2462,692,68.9,69.2,0.090168539,69.1,809117.5385
Spot 15_23_105_R,9,81541.90769,712,70.9,71.2,0.075159236,71.1,594865.2308
Spot 15_23_105_R,10,81226.83077,732,72.8,73.2,0.078478261,73.1,454971.0769
Spot 15_23_105_R,6,37683.2,741,73.8,74.2,0.136634615,74,255842.4615
Spot 15_23_105_R,11,212550.8923,771,76.9,77.2,0.120508507,77,1642180.923
Spot 15_23_105_R,7,113112.6154,792,78.7,79.6,0.191562117,79.1,573440
Spot 15_23_105_R,8,93325.78462,812,80.6,81.5,0.205496324,81.1,420942.7692
Spot 15_23_105_R,12,89292.8,842,84,84.2,0.058679245,84.1,783911.3846
Spot 15_23_105_R,13,55642.58461,852,84.9,85.2,0.123106061,85.1,321378.4615
Spot 15_23_105_R,9,71081.35385,862,85.7,86.3,0.132699688,86.1,470094.7692
Spot 15_23_105_R,10,42850.46154,871,86.8,87.2,0.155337079,87,248280.6154
Spot 15_23_105_R,14,177073.2308,912,90.9,91.2,0.079231975,91.1,1274171.077
Spot 15_23_105_R,15,15690.83077,960,95.8,96,0.053571429,95.9,113427.6923
Spot 15_23_105_R,11,42472.36923,981,97.7,98.3,0.194597646,98,212992
Spot 15_23_105_R,12,33776.24615,991,98.8,99.3,0.14187874,99,206690.4615
Spot 15_23_105_R,16,74421.16923,1022,101.9,102.2,0.068548387,102.1,535630.7692
Spot 15_23_105_R,17,74232.12308,1032,102.8,103.2,0.116272189,103.1,432285.5385
Spot 15_23_105_R,13,73664.98462,1052,104.6,105.3,0.148408408,105.1,444888.6154
Spot 15_23_105_R,14,96602.58462,1072,107,107.3,0.130210944,107.1,792733.5385
Spot 15_23_105_R,15,34721.47692,1082,107.6,108.4,0.157291667,108.1,138633.8462
Spot 15_23_105_R,18,21614.27692,1101,109.8,110.2,0.164179104,110,108386.4615
Spot 15_23_105_R,19,37935.26154,1111,110.8,111.3,0.185252248,111,197868.3077
Spot 15_23_105_R,20,15501.78462,1120,111.8,112,0.053684211,111.9,128551.3846
Spot 15_23_105_R,21,55012.43077,1130,112.8,113.1,0.150372889,112.9,349105.2308
Spot 15_23_105_R,22,15249.72308,1142,113.8,114.2,0.15,114.1,71837.53846
Spot 15_23_105_R,23,4600.123077,1150,114.8,114.9,114.8492958,114.9,90742.15385
Spot 15_23_105_R,24,142036.6769,1152,114.9,115.2,0.126495726,115.1,831803.0769
Spot 15_23_105_R,25,70577.23077,1172,116.8,117.2,0.096449704,117.1,410860.3077
Spot 15_23_105_R,26,45497.10769,1182,117.8,118.2,0.066009852,118.1,337762.4615
Spot 15_23_105_R,27,60935.87692,1192,118.8,119.2,0.070731707,119.1,438587.0769
Spot 15_23_105_R,28,73728,1212,120.8,121.2,0.085576923,121.1,448669.5385
Spot 15_23_105_R,16,25710.27692,1222,121.8,122.2,0.209756098,122.1,103345.2308
Spot 15_23_105_R,17,21614.27692,1232,122.8,123.3,0.185608108,123.1,108386.4615
Spot 15_23_105_R,18,61755.07692,1272,126.8,127.3,0.197102948,127.1,308775.3846
Spot 15_23_105_R,29,91498.33846,1282,127.7,128.2,0.085769231,128.1,562097.2308
Spot 15_23_105_R,19,62007.13846,1292,128.8,129.3,0.287650569,129.1,262144
Spot 15_23_105_R,30,52302.76923,1312,130.8,131.2,0.092335766,131.1,318857.8462
Spot 15_23_105_R,20,170582.6462,1330,132.8,133.1,0.112900119,132.9,1295596.308
Spot 15_23_105_R,21,18652.55385,1332,133.1,133.2,0,133.1,291131.0769
Spot 15_23_105_R,22,28735.01538,1342,133.8,134.2,0.141176471,134.1,141154.4615
Spot 15_23_105_R,31,123510.1538,1352,134.8,135.3,0.115582771,135.1,932627.6923
Spot 15_23_105_R,23,27726.76923,1370,136.7,137.2,0.252898551,136.9,92002.46154
Spot 15_23_105_R,32,40203.81538,1392,138.7,139.2,0.10078125,139.1,235677.5385
Spot 15_23_105_R,33,43606.64615,1412,140.8,141.2,0.085433071,141.1,273486.7692
Spot 15_23_105_R,24,41464.12308,1452,144.8,145.2,0.091176471,145.1,195347.6923
Spot 15_23_105_R,25,20984.12308,1462,145.8,146.3,0.191833031,146.1,95783.38462
Spot 15_23_105_R,34,26781.53846,1472,147,147.2,0.0859375,147.1,207950.7692
Spot 15_23_105_R,35,39510.64615,1492,148.8,149.2,0.149479167,149.1,185265.2308
Spot 15_23_105_R,26,60494.76923,1522,151.8,152.2,0.101181102,152.1,374311.3846
Spot 15_23_105_R,36,60494.76923,1522,151.8,152.2,0.101181102,152.1,374311.3846
Spot 15_23_105_R,37,29113.10769,1532,153,153.2,0.1,153.1,216772.9231
Spot 15_23_105_R,38,18211.44615,1552,155,155.2,0.094067797,155.1,139894.1539
Spot 15_23_105_R,39,17644.30769,1572,157,157.2,0.1,157.1,129811.6923
Spot 15_23_105_R,27,22055.38461,1582,157.8,158.4,0.144292453,158.1,115948.3077
Spot 15_23_105_R,40,7876.923077,1591,158.8,159,158.871875,159,65536
Spot 15_23_105_R,28,30247.38462,1612,160.8,161.5,0.221530698,161.1,124770.4615
Spot 15_23_105_R,41,18652.55385,1632,163,163.2,0.1,163.1,128551.3846
Spot 15_23_105_R,42,68812.8,1652,164.7,165.2,0.083658537,165.1,432285.5385
Spot 15_23_105_R,29,22055.38461,1712,170.8,171.5,0.266,171.1,83180.30769
Spot 15_23_105_R,30,24260.92308,1731,172.8,173.5,0.228166667,173,93262.76923
Spot 15_23_105_R,43,8381.046154,1751,174.8,175,174.8884615,175,75618.46154
Spot 15_23_105_R,44,27096.61538,1762,175.7,176.2,0.1425,176.1,132332.3077
Spot 15_23_105_R,45,37620.18462,1772,176.7,177.2,0.164285714,177.1,171401.8462
Spot 15_23_105_R,46,41023.01538,1782,177.8,178.2,0.104938272,178.1,244499.6923
Spot 15_23_105_R,47,10271.50769,1842,184,184.2,0.084722222,184.1,76878.76923
Spot 15_23_105_R,48,35225.6,1892,188.7,189.2,0.143382353,189.1,170141.5385
Spot 15_23_105_R,49,26781.53846,1912,190.7,191.2,0.110714286,191.1,133592.6154
Spot 15_23_105_R,50,8318.030769,1932,193,193.2,0.1,193.1,55453.53846
Spot 15_23_105_R,51,11972.92308,1962,196,196.2,0.088095238,196.1,93262.76923
Spot 15_23_105_R,52,26844.55385,2022,201.7,202.2,0.0890625,202.1,143675.0769
Spot 15_23_105_R,53,20732.06154,2032,202.6,203.2,0.082352941,203.1,105865.8462
Spot 15_23_105_R,31,19912.86154,2052,204.6,205.6,0.23125,205.1,66796.30769
Spot 15_23_105_R,54,15501.78462,2132,213,213.3,0.166666667,213.1,100824.6154
Spot 15_23_105_R,55,14871.63077,2152,215,215.3,0.151405229,215.1,103345.2308
Spot 15_23_105_R,56,8948.184615,2172,217,217.3,0.16875,217.1,55453.53846
Spot 15_23_105_R,57,17455.26154,2262,225.5,226.4,0.164844407,226.1,70577.23077
Spot 15_23_105_R,58,8192,2282,227.7,228.3,0.135791091,228.1,42850.46154
Spot 15_23_105_R,59,9956.430768,2312,230.7,231.3,0.130667702,231.1,41590.15385
Spot 15_23_105_R,33,15501.78462,2372,236.4,237.5,0.283333333,237.1,47891.69231
Spot 15_23_105_R,34,18967.63077,2392,238.6,239.4,0.169767442,239.1,75618.46154
Spot 15_23_105_R,35,6679.630769,2570,256.6,257.4,0.3875,256.9,17644.30769
Spot 15_23_105_R,61,5419.323077,2611,260.9,261.3,0.200793651,261,27726.76923
Spot 15_23_105_R,62,5041.230769,2632,263,263.3,0.178571429,263.1,27726.76923
Spot 15_23_105_R,63,6616.615384,2652,265,265.3,0.168,265.1,42850.46154
Spot 15_23_105_R,36,6490.584613,2720,271.5,272.4,0.385,271.9,17644.30769
Spot 15_23_105_R,64,3213.784614,2762,276,276.3,0.166666667,276.1,18904.61538
Spot 15_23_105_R,65,2331.56923,2811,281,281.2,0.1,281,12603.07692
Spot 15_23_105_R,66,945.230769,2867,286.5,286.7,0.05,286.6,6301.53846
Spot 15_23_105_R,67,2583.630769,2871,286.8,287,286.8,287,17644.30769
Spot 15_23_105_R,68,3717.907692,3002,299.9,300.2,0.09375,300.1,18904.61538
Spot 15_23_105_R,69,3591.876924,3021,301.9,302.2,0.2,302,13863.38462
Spot 15_23_105_R,70,693.169231,3358,335.60001,335.90001,0.125,335.70001,3780.92308
Spot 15_23_105_R,71,2583.630769,3370,336.40001,336.90001,336.68751,336.90001,11342.76923
Spot 15_23_105_R,72,2016.492308,3427,342.50001,342.90001,0.283333333,342.60001,6301.53846
Spot 15_23_105_R,73,1953.476923,3448,344.60001,344.90001,0.15,344.70001,10082.46154
Spot 15_23_105_R,74,3087.753845,3468,346.60001,346.90001,0.183333333,346.70001,12603.07692
Spot 15_23_105_R,75,2898.707692,3488,348.60001,349.00001,0.25625,348.70001,11342.76923
Spot 15_23_105_R,76,693.169231,3703,370.20001,370.40001,0.1,370.20001,5041.23077
Spot 15_23_105_R,77,441.1076915,3723,372.20001,372.40001,0.1,372.20001,2520.61538
Spot 15_23_105_R,78,819.2,3844,384.20001,384.40001,0.1,384.30001,5041.23077
Spot 15_23_105_R,79,1071.261538,3864,386.20001,386.40001,0.1,386.30001,7561.84615
Spot 15_23_105_R,80,819.1999995,4089,408.70001,408.90001,0.0625,408.80001,6301.53846
