Dataset ID,Index,Area,Row Index,Beginning X,Ending X,FWHM,Center,Height
Spot 15_23_14_B,1,182190.08,511,50.9,51.2,0.100775983,51,1794375.68
Spot 15_23_55_B,1,140052.8593,511,50.9,51.2,0.100708908,51,1379896.889
Spot 15_23_56_B,1,90275.84,511,50.9,51.2,0.101427374,51,879820.8
Spot 15_23_56_G,1,79090.03636,511,50.9,51.2,0.101368734,51,773026.9091
Spot 15_23_56_R,1,95928.32,511,50.9,51.2,0.100695957,51,948633.6
Spot 15_23_58_B,1,182621.6585,511,50.9,51.2,0.100763067,51,1799842.341
Spot 15_23_59_G,1,203012.6545,511,50.9,51.2,0.100903843,51,1995869.091
Spot 15_23_59_R,1,120546.5212,511,50.9,51.2,0.100672275,51,1191563.636
Spot 15_23_67_B,1,200553.5347,511,50.9,51.2,0.100542005,51,1984804.571
Spot 15_23_68_G,1,135532.0889,511,50.9,51.2,0.100478237,51,1339847.111
Spot 15_23_68_R,1,205876.6629,511,50.9,51.2,0.100554102,51,2039105.829
Spot 15_23_70_B,1,192569.1535,511,50.9,51.2,0.100646272,51,1900544
Spot 15_23_71_B,1,220637.8667,511,50.9,51.2,0.100357449,51,2190774.857
Spot 15_23_71_G,1,253207.2727,511,50.9,51.2,0.10059938,51,2502283.636
Spot 15_23_71_R,1,262888.7273,511,50.9,51.2,0.101228823,51,2576756.364
Spot 15_23_72_B,1,279810.2261,511,50.9,51.2,0.100412372,51,2778156.522
Spot 15_23_72_G,1,257119.5733,511,50.9,51.2,0.100605088,51,2542796.8
Spot 15_23_73_B,1,269740.2182,511,50.9,51.2,0.101082993,51,2645271.273
Spot 15_23_73_G,1,220169.7524,511,50.9,51.2,0.100649252,51,2181412.571
Spot 15_23_73_R,1,258444.3871,511,50.9,51.2,0.100798119,51,2543219.613
Spot 15_23_74_G,1,252164.6545,511,50.9,51.2,0.100479761,51,2496325.818
Spot 15_23_74_R,1,226843.9273,511,50.9,51.2,0.100951288,51,2228224
Spot 15_23_75_G,1,233432.9905,511,50.9,51.2,0.100894573,51,2293760
Spot 15_23_75_R,1,274621.0462,511,50.9,51.2,0.100513367,51,2717223.385
Spot 15_23_81_R,1,223786.1647,511,50.9,51.2,0.100674367,51,2206378.667
Spot 15_23_82_G,1,200977.0667,511,50.9,51.2,0.100751166,51,1982785.255
Spot 15_23_93_R,1,219944.1297,511,50.9,51.2,0.100740557,51,2169772.973
Spot 16_mz23_49_B,1,167272.8381,511,50.9,51.2,0.100713836,51,1652443.429
Spot 16_mz23_49_G,1,230359.04,511,50.9,51.2,0.100504739,51,2283929.6
Spot 16_mz23_49_R,1,207920.7619,511,50.9,51.2,0.100342264,51,2062823.619
Spot 16_mz23_50_R,1,205385.1429,511,50.9,51.2,0.100938014,51,2017572.571
Spot 16_mz23_51_G,1,159158.8571,511,50.9,51.2,0.10367216,51,1488603.429
Spot 15_23_14_B,1,33292.288,381,37.9,38.1,0.05,38,332922.88
Spot 15_23_55_B,1,25000.77037,381,37.9,38.1,0.05,38,250007.7037
Spot 15_23_56_B,1,14254.08,381,37.9,38.1,0.05,38,142540.8
Spot 15_23_56_G,1,15490.32727,381,37.9,38.1,0.05,38,154903.2727
Spot 15_23_56_R,1,21463.04,381,37.9,38.1,0.05,38,214630.4
Spot 15_23_58_B,1,27812.83902,381,37.9,38.1,0.05,38,278128.3902
Spot 15_23_59_G,1,38576.87273,381,37.9,38.1,0.05,38,384279.2727
Spot 15_23_59_R,1,14894.54546,381,37.9,38.1,0.05,38,148945.4546
Spot 15_23_67_B,1,33369.86122,381,37.9,38.1,0.05,38,333029.8776
Spot 15_23_68_G,1,23574.75556,381,37.9,38.1,0.05,38,234837.3333
Spot 15_23_68_R,1,33423.36,381,37.9,38.1,0.050284091,38,331424.9143
Spot 15_23_70_B,1,30634.26977,381,37.9,38.1,0.05,38,306342.6977
Spot 15_23_71_B,1,47903.69524,381,37.9,38.1,0.05,38,477476.5714
Spot 15_23_71_G,1,50939.34546,381,37.9,38.1,0.05,38,509393.4546
