Dataset ID,Index,Area,Row Index,Beginning X,Ending X,FWHM,Center,Height
Spot 9_mz 55_14_G,1,71573.5685,511,50.9,51.2,0.100660362,51,707995.2126
Spot 9_mz 55_15_G,1,75687.20559,511,50.9,51.2,0.100648017,51,747935.3287
Spot 9_mz 55_56_G,1,13949.80571,511,50.9,51.2,0.100340136,51,138561.8286
Spot 9_mz 55_68_B,1,38783.61791,511,50.9,51.2,0.101170522,51,380500.0597
Spot 9_mz 55_68_G,1,40285.36471,511,50.9,51.2,0.103533872,51,377795.7647
Spot 9_mz 55_68_R,1,25780.70588,511,50.9,51.2,0.100574713,51,254433.8824
Spot 10_106_9_1_B,1,40321.30169,511,50.9,51.2,0.100848271,51,397659.1186
Spot 10_106_9_1_G,1,45815.62182,511,50.9,51.2,0.100394391,51,455177.3091
Spot 10_106_9_1_R,1,87407.33968,511,50.9,51.2,0.101307805,51,852488.127
Spot 15_23_12_B,1,41086.03077,511,50.9,51.2,0.101939727,51,398257.2308
Spot 15_23_15_R,1,28281.90476,511,50.9,51.2,0.101734954,51,274627.0476
Spot 15_23_17_G,1,23926.28965,511,50.9,51.2,0.100360577,51,236720.5517
Spot 15_23_17_R,1,17164.19048,511,50.9,51.2,0.101960784,51,165400.381
Spot 15_23_23_R,1,43281.06667,511,50.9,51.2,0.10130719,51,423253.3333
Spot 15_23_53_B,1,29324.58305,511,50.9,51.2,0.100578408,51,289913.4915
Spot 15_23_54_B,1,10044.10435,511,50.9,51.2,0.101470588,51,98304
Spot 15_23_54_G,1,14695.95152,511,50.9,51.2,0.1,51,146959.5152
Spot 15_23_54_R,1,26506.97143,511,50.9,51.2,0.101369863,51,259803.4286
Spot 15_23_69_B,1,31129.6,511,50.9,51.2,0.100265957,51,309657.6
Spot 15_23_108_B,1,70839.24211,511,50.9,51.2,0.101815121,51,684678.7368
Spot 15_23_108_G,1,18941.50244,511,50.9,51.2,0.103320463,51,178225.9512
Spot 15_23_109_B,1,12224.98462,511,50.9,51.2,0.101423541,51,120149.3333
Spot 15_23_109_G,1,41655.7589,511,50.9,51.2,0.10100001,51,408477.8082
Spot 15_23_109_R,1,71652.69333,511,50.9,51.2,0.101030384,51,701235.2
Spot 15_23_111_B,1,9383.563636,511,50.9,51.2,0.15,51,61067.63636
Spot 15_23_111_G,1,32070.80851,511,50.9,51.2,0.111858974,51,269115.9149
Spot 15_23_111_R,1,23775.85116,511,50.9,51.2,0.102097902,51,227089.8605
Spot 15_23_133_R,1,19597.78462,511,50.9,51.2,0.101337837,51,191566.7692
Spot 16_mz23_1_B,1,2450.939838,512,50.9,51.2,0.052380952,51.1,23443.77236
Spot 16_mz23_1_G,1,9519.966316,512,50.9,51.2,0.052822581,51.1,90370.69474
Spot 16_mz23_1_R,1,31055.12727,512,50.9,51.2,0.050740741,51.1,306082.9091
Spot 16_mz23_2_B,1,13400.64478,511,50.9,51.2,0.100373134,51,132050.1493
Spot 16_mz23_2_G,1,52428.8,511,50.9,51.2,0.1015625,51,508867.7647
Spot 16_mz23_2_R,1,1550.851908,512,50.9,51.2,0.051724138,51.1,15008.24427
Spot 16_mz23_62_B,1,170244.6545,511,50.9,51.2,0.100625163,51,1680104.727
Spot 16_mz109_158_R,1,32627.56571,511,50.9,51.2,0.100582245,51,323935.0857
Spot 16_mz109_159_B,1,3387.253933,512,50.9,51.2,0.051136364,51.1,33136.17978
Spot 16_mz109_159_G,1,12072.42105,512,50.9,51.2,0.053225806,51.1,113825.6842
Spot 16_mz109_160_B,1,3913.955555,512,50.9,51.2,0.051219512,51.1,38229.33333
Spot 16_mz109_160_G,1,1872.457143,512,50.9,51.2,0.052777778,51.1,17788.34286
Spot 16_mz109_160_R,1,5220.664407,512,50.9,51.2,0.058571429,51.1,45541.9661
Spot 16_mz109_161_B,1,2332.637288,512,50.9,51.2,0.055882353,51.1,21104.81356
Spot 16_mz109_161_G,1,2340.571429,512,50.9,51.2,0.073076923,51.1,17788.34286
Spot 16_mz109_161_R,1,2594.133334,512,50.9,51.2,0.075,51.1,19114.66667
Spot 16_mz109_162_B,1,322.308197,511,50.9,51.2,0.1,51,3223.08197
Spot 16_mz109_162_G,1,819.2,512,50.9,51.2,0.05,51.1,8192
Spot 16_mz109_162_R,1,797.059459,512,50.9,51.2,0.05,51.1,7970.59459
Spot 16_mz109_163_G,1,15384.29831,511,50.9,51.2,0.101888243,51,149955.2542
Spot 16_mz109_163_R,1,14277.48571,511,50.9,51.2,0.100561798,51,140434.2857
Spot 16_mz109_164_R,1,12999.17363,511,50.9,51.2,0.10027933,51,129631.6484
Spot 9_mz 55_14_G,1,22653.78268,381,37.9,38.1,0.05,38,226537.8268
Spot 9_mz 55_15_G,1,20577.38741,381,37.9,38.1,0.050224215,38,205315.5804
Spot 9_mz 55_56_G,1,5242.88,381,37.9,38.1,0.05,38,52428.8
Spot 9_mz 55_68_B,1,10857.45672,381,37.9,38.1,0.05,38,108574.5672
