A_min_lab,A_spec_type,A_spot,A_38,A_39,A_41,A_43.1,A_51,A_55.1,A_55.9,A_57.1,A_58.1,A_63.1,A_65.1,A_67.1,A_69.1,A_71.1,A_73.1,A_74,A_77.1,A_79.1,A_81.1,A_84.1,A_85.1,A_86,A_87,A_91.1,A_95.9,A_98,A_99,A_102.1,A_102.9,A_105.1,A_107.1,A_108.1,A_110.1,A_111,A_111.9,A_112.9,A_114,A_114.9,A_115.1,A_117.1,A_118.1,A_119.1,A_121.1,A_122,A_123,A_127.1,A_128.1,A_129.1,A_131.1,A_132.9,A_133.1,A_134,A_135.1,A_137,A_139.1,A_141.1,A_145,A_146,A_147.1,A_149.1,A_152.1,A_153.1,A_155.1,A_157.1,A_158,A_158.9,A_161,A_163.1,A_165.1,A_171.1,A_173.1,A_174.9,A_176.1,A_177.1,A_178.1,A_184.1,A_189.1,A_191.1,A_193.1,A_196.1,A_202.1,A_203.1,A_205.1,A_213.1,A_215.1,A_217.1,A_226.1,A_228.1,A_231.1,A_237.1,A_239.1,A_257.1,A_261.1,A_263.1,A_265.1,A_272.1,A_276.1,A_281.1,A_286.6,A_286.9,A_300.1,A_302.1,A_335.7,A_336.8,A_342.8,A_344.8,A_346.7,A_348.7,A_370.3,A_372.3,A_384.3,A_386.3,A_408.8,A_485.4,A_546.4,A_596.2,A_651.9
biomarker_n,point,Spot 10_65_1_B,43378.59048,1016510.171,904864.9143,778552.0762,175620.8762,598250.0571,204721.981,746564.2667,142072.6857,115390.1714,215020.4952,190132.419,257150.781,207764.7238,231638.5524,65223.92381,239752.5333,153931.581,144491.2762,29413.18095,118120.8381,45407.08571,45641.14286,171173.7905,20597.02857,46655.39048,48605.86667,40647.92381,52038.70476,90970.20952,37137.06667,27696.7619,24497.98095,59138.43809,13263.23809,72011.58095,16227.9619,5539.352381,116638.4762,67486.47619,32455.92381,49620.11429,56407.77143,35108.57143,31519.69524,46343.31429,76536.68571,61010.89524,42520.38095,417167.8476,16071.92381,35732.72381,42052.26667,30193.37143,46421.33333,45407.08571,34640.45714,28945.06667,49698.13333,99942.4,51804.64762,22313.44762,13419.27619,16540.0381,26604.49524,10064.45714,33782.24762,18256.45714,49776.15238,25824.30476,23171.65714,12873.14286,31363.65714,40803.9619,34718.47619,16540.0381,38619.42857,31051.58095,13341.25714,12717.10476,34874.51428,20206.93333,29101.10476,12327.00952,17242.20952,11390.78095,22859.58095,17164.19048,14511.54286,18256.45714,20909.10476,12639.08571,9206.247619,7723.885714,7489.828572,13263.23809,6007.466667,5383.314285,1248.304762,3588.876191,5461.333334,6319.542858,1170.285714,3510.857143,3198.780952,2340.571429,2028.495238,2730.666666,312.0761905,1014.247619,1014.247618,78.0190475,1092.266667,2340.571428,156.038095,312.07619,78.0190475
biomarker_n,point,Spot 10_65_1_G,54684.95738,1041162.911,1003506.57,857823.2656,212830.8459,680768.6295,242805.5082,853579.541,194727.8689,145146.1246,239958.4525,225454.5836,300444.9574,240925.377,276379.2787,75151.52787,280784.1574,197521.2066,171467.9607,36743.13443,136658.6754,47486.74098,59304.7082,187314.7803,23958.24262,56189.06229,55060.98361,42329.80984,68060.74754,103998.1115,43511.60656,34701.84918,33949.79672,69618.57049,19499.6459,89547.96066,22454.1377,7574.242623,137357.0098,79287.81639,44209.94098,61399.71148,66073.18033,38730.70164,35507.61967,54308.93115,88903.34426,69940.87869,44693.40328,480400.3672,16706.3082,39106.72787,48238.79344,37763.77705,51408.15738,53395.72459,40718.26885,31532.48525,64354.20328,119468.9049,56457.65246,27772.22295,17619.51475,17726.95082,31478.76721,16330.28197,37602.62295,18908.74754,63333.56065,30243.25246,26590.42623,14933.61311,33573.77049,42813.27213,38139.80328,18640.15738,46251.22623,34540.69508,15094.76721,13644.38033,37011.72459,23743.37049,31425.04918,14879.89508,19929.39016,14181.56066,29706.07213,22722.72787,19338.4918,20896.31475,22830.16393,12516.30164,8433.731149,8111.422951,8326.295082,10206.42623,7842.832787,8003.986886,805.770492,4404.878688,6875.908197,6016.419672,1933.84918,2471.029508,2685.90164,2739.619672,2363.593443,3545.390164,1020.642622,376.02623,429.7442625,966.9245895,752.052459,1396.668852,590.898361,322.308197,214.8721315
biomarker_n,point,Spot 10_65_1_R,45428.36364,1024595.782,932621.9636,809146.1818,165999.7091,615144.7273,210981.2364,769005.3818,169053.0909,112006.9818,197799.5636,179032.4364,269144.4364,224535.2727,212321.7455,59801.6,236674.3273,152520.1455,144179.2,31576.43636,126231.2727,42672.87273,44683.63636,150285.9636,19065.01818,49673.30909,41406.83636,33810.61818,52801.16364,92867.49091,39768.43636,27852.8,24799.41818,55631.12727,14224.29091,69780.94545,18171.34545,4691.781818,101953.1636,69259.63636,35225.6,48779.63636,51088.29091,29938.03636,27703.85455,41630.25455,77377.16364,47513.6,36566.10909,392322.3273,14671.12727,33810.61818,37236.36364,29938.03636,38204.50909,41928.14545,30459.34545,24799.41818,45204.94545,104038.4,45204.94545,21671.56364,13702.98182,11170.90909,23458.90909,9904.872727,25990.98182,17873.45454,46396.50909,23905.74545,16384,10649.6,27257.01818,35002.18182,35151.12727,14969.01818,35821.38182,28597.52727,12362.47273,9234.618181,26810.18182,22341.81818,23682.32727,9234.618182,15639.27273,11021.96364,21746.03636,14000.87273,11021.96364,16235.05454,16458.47273,10351.70909,8192.000001,9011.200001,5064.145455,8713.309092,5808.872728,4617.309091,446.8363645,3500.218181,5436.509091,4989.672728,1787.345454,3202.327273,1936.290909,1340.509091,1563.927273,2755.490909,372.363637,819.2000005,297.8909095,372.3636365,893.6727275,1340.509092,223.4181825,0,223.4181825
biomarker_n,point,Spot 10_65_10_B,39763.41573,1016728.449,1047655.551,851378.9124,179377.1865,641074.6247,215679.7124,828919.9461,145467.8292,116933.8966,222822.4,188176.6831,273815.2989,232431.8921,279301.1775,61522.84045,241673.2045,157544.1258,139724.2247,32031.64045,128789.2854,37922.51685,41862.04045,150290.9843,18372.17079,45580.65618,41420.22472,35197.98652,53422.88539,89541.32135,44917.93259,26877.1236,20691.70337,57656.95281,13954.01348,74298.67865,14727.19101,5228.152809,106256.6831,69475.5236,31148.00899,47973.82472,53017.88764,33099.3618,27245.30337,38511.60449,68407.80225,58724.67416,37885.69888,409121.3663,20581.24944,29270.29213,38253.87865,28055.29888,38806.14831,40573.41124,33541.17753,23268.9618,61559.65843,107361.2225,44181.57303,25588.49438,16752.17978,14432.64719,22937.6,10088.12584,31921.18652,17083.54157,46501.10562,23195.32584,19366.25618,9572.674156,26030.31011,34277.53708,32399.82023,12739.02022,34351.17303,29638.47191,11744.93483,10014.48989,27171.66742,21759.42472,26987.57753,12923.11011,16126.27416,12223.56854,20213.06966,16604.90786,13917.19551,18077.62696,17598.99326,10051.30787,9278.130338,7768.593257,7216.323596,8394.498876,5817.240449,6332.692135,552.2696625,2540.440449,4049.977529,4049.977528,1104.539325,2135.442696,1509.537078,1546.355056,1435.901124,2209.078651,809.995505,957.2674155,809.995505,589.08764,625.905618,2209.078652,589.08764,110.4539325,36.8179775
biomarker_n,point,Spot 10_65_10_G,40650.03243,1016658.197,1070415.429,886489.5308,174449.747,670238.4432,250666.3438,790948.6703,194606.4951,102980.0822,184120.7351,186972.4368,281556.8259,245370.3265,202151.9914,51135.79243,230049.0724,151565.2843,131302.2616,39604.99892,130859.4508,39357.02487,39463.29946,133108.9297,8980.203242,39959.24757,41021.99351,28818.12757,46778.53405,87835.95243,38967.35135,20227.59784,21396.61838,47327.61946,7988.307027,43537.15892,12168.44108,2798.564324,92636.02162,60169.13297,25240.21622,47557.88108,46406.57297,24088.90811,24655.70595,34326.69405,55369.06378,43182.91027,30500.80865,345994.6551,15710.92757,23132.43676,36983.55892,20245.31027,31032.18162,31829.24108,26657.21081,17978.11892,42616.11243,115892.4454,33777.60865,20634.98378,14471.0573,12575.82703,14825.30594,6535.887567,26621.78595,15551.51568,38276.56649,17074.78486,16631.97405,6996.41081,20634.98378,25842.43892,25789.30162,10149.22378,26232.11243,21485.18054,10840.00865,6642.162162,18916.87784,15250.40432,21024.6573,10220.07351,11087.9827,9794.975134,14045.95892,10414.91027,10255.498380000001,10875.43351,13036.35027,6695.29946,6571.312432,6039.939459,5721.115676,5915.952432,4605.232432,4286.408649,513.6605405,1664.968649,3205.95027,3347.64973,743.922162,1505.556757,956.4713515,956.471352,619.9351345,1381.56973,407.3859455,460.523243,318.8237835,389.6735135,425.098379,2231.766487,230.261622,17.7124325,53.1372975
biomarker_n,point,Spot 10_65_10_R,50951.93239,1005954.524,1132895.91,884228.3268,197715.6507,675989.9944,314849.7127,848345.0592,304603.9437,126664.4732,219960.969,194161.938,286327.707,247975.3014,197323.3577,62951.48169,249475.2451,159455.5493,146809.8704,59882.3662,138617.8704,55290.23098,47375.14366,153594.231,15968.63099,53767.21127,48044.3493,42759.93239,57505.53239,96434.83944,50282.72676,32906.45634,28845.07042,59720.8338,10591.90986,57182.46761,17468.57465,4384.450704,105596.0338,72897.26197,31683.42535,54967.1662,53744.13521,37313.9831,32421.85915,43521.44225,64797.5662,51367.30141,35490.97465,454275.2451,16107.08732,29052.75493,51898.0507,28591.2338,37060.14648,37775.50422,32375.70704,22660.68732,43706.0507,112726.5352,38860.07887,24529.84789,15091.74084,12645.67887,20399.2338,9184.270422,30506.54648,17514.72676,46429.02535,20145.39718,19199.27887,9715.019717,24829.83662,33183.36901,29837.34085,11699.56056,31060.37183,24299.08732,10938.0507,9968.856337,22245.31831,17445.49859,21599.18873,11376.49577,11791.86479,9715.019718,16060.93521,11353.41972,12437.99437,12230.30986,15207.12113,8191.999998,6461.295775,5884.394366,6461.295775,6507.447887,4245.994366,3784.473239,761.509859,1776.856337,3530.63662,3461.40845,1130.726761,2030.692958,1938.388732,715.357746,1038.422536,1638.399999,576.9014085,876.890141,576.9014085,369.2169015,646.1295775,2699.898591,207.684507,69.2281695,207.684507
biomarker_n,point,Spot 10_65_100_B,44359.06866,1027643.606,987099.3194,835046.0179,183305.1701,637753.3134,275153.3851,780171.8448,317653.9701,122121.9343,212600.7403,184185.5045,264638.2806,213383.2597,187755.7493,54482.91343,241700.6806,165307.2239,149265.5761,56047.95224,116350.8537,51401.74328,46315.36716,159047.0687,21421.46866,52428.8,53847.11642,43723.27164,61916.84776,99771.22388,57270.63881,32963.62985,33599.42686,62797.18209,13107.2,71453.80299,17557.7791,5379.820896,118551.6896,73410.10149,35017.74328,58053.15821,61329.95821,37218.5791,35946.98507,48760.7403,76784.71642,62259.2,40201.93433,414246.209,18438.11343,37560.93134,59471.47463,31496.40597,38587.98806,45777.38507,34822.11343,23622.30448,40642.10149,93315.43881,48467.29552,28415.23582,17704.50149,17019.79701,20981.30149,10319.47463,30518.25672,22741.97015,53700.39403,25823.1403,20100.96716,8509.898507,31447.49851,35115.55821,34626.48358,11395.43881,39028.15522,29931.36716,13645.18209,10906.36418,29344.47761,20492.22687,24258.10149,14280.9791,14623.33134,11933.42089,21421.46866,16970.88955,11786.69851,15210.22089,18829.37313,9830.400002,9488.047761,7971.916418,7531.749254,10857.45672,5624.358209,5135.283582,684.7044775,2151.928359,3716.967164,4597.301493,929.2417905,2103.020895,2396.465672,2054.113432,2249.743284,2200.83582,684.7044775,537.982089,489.074627,489.074627,929.241791,2396.465671,195.6298505,97.814925,146.722388
biomarker_n,point,Spot 10_65_100_G,38432.97627,1023472.38,987427.5797,843748.2305,177780.2847,637143.2136,228653.9932,812979.6339,161507.3627,121852.5288,217768.3525,194886.2915,267531.2814,227432.1356,220600.8407,61426.11525,251091.7424,165006.3186,154065.139,34711.86441,124296.2441,41820.85424,46874.9017,163062.4542,18438.94237,50818.16949,45208.7322,34767.40339,56483.14576,89528.84068,49207.53898,26158.86102,26714.25085,55650.06102,14939.98644,83252.93559,16994.92881,4498.657627,113854.9153,74144.54237,33934.31865,52317.72203,56927.45763,32990.15593,29046.88814,47152.59661,73811.30847,57816.08135,35045.0983,384607.4576,18883.25424,29824.4339,38932.82712,29435.66102,36711.2678,43375.94576,37655.43051,24103.91864,44097.95254,95638.12881,46930.44068,28824.7322,13884.74576,15995.22712,26991.94576,10052.55593,33267.85085,23604.0678,52262.18305,22826.52203,22993.13898,9774.861017,25881.1661,37988.66441,32823.53898,15439.83729,34045.39661,28602.57627,16106.30508,11441.03051,27991.64746,22993.13898,25825.62712,16439.53898,19994.0339,13495.97288,17994.63051,16384,14551.21356,17716.93559,19049.87118,11441.03051,7386.684746,9941.477966,8775.159322,8830.698305,7442.223729,6886.833898,1110.779661,2610.332203,4720.813559,5664.976271,1499.552542,2221.559322,1777.247458,1610.630509,1888.325424,1777.247456,1277.39661,722.0067795,944.1627115,222.155932,999.701695,1888.325423,388.772881,166.616949,55.538983
biomarker_n,point,Spot 10_65_100_R,49105.84789,1032468.913,1091035.944,911135.0085,176531.831,703035.1324,230806.7155,877259.3577,133518.062,110488.1577,207961.4197,205238.4451,305619.2901,256282.6817,208192.1803,52290.34366,234314.2761,169978.231,149440.5408,32352.63099,143671.5268,38767.77465,41859.9662,144317.6563,13107.2,42321.48732,41859.9662,31844.95775,53536.4507,92211.92113,38167.79718,20768.4507,21968.40563,55520.99155,11214.96338,65674.45634,15691.71831,5169.03662,95027.2,68582.03944,25706.72676,55567.14366,53397.99437,29075.83099,23676.0338,38398.55775,62813.02535,49798.12958,35121.75775,358463.4592,14907.13239,25383.66197,33967.95493,23860.64225,35998.64789,35490.97465,29814.26479,21229.97183,39875.42535,110626.6141,36967.84225,21183.81972,14353.30704,12691.83099,17168.58591,8445.83662,29029.67887,17307.04225,38998.53521,17907.01972,18045.47606,8953.509858,23352.96901,31706.50141,27968.18028,11261.11549,34521.78028,26491.31268,10153.46479,8584.292957,22429.92676,18783.90986,23306.8169,12691.83099,12138.00563,11907.24507,17676.25915,13568.72113,13707.17747,14122.54648,14030.24225,10338.07324,6784.360564,5492.101409,7245.881691,7107.425351,4938.276058,5538.25352,553.825352,1938.388733,3692.169014,2861.430986,1199.954929,2122.997183,1753.780282,1292.259156,1753.780282,1984.540845,323.0647885,876.8901405,230.7605635,369.2169015,461.521127,3276.8,276.912676,184.608451,92.304225
biomarker_n,point,Spot 10_65_101_B,56457.65246,1015055.948,1192003.148,949734.8197,208855.7115,728416.5246,292494.6885,887797.9279,208157.377,128869.5607,209231.7377,213153.1541,316614.0852,272028.118,199938.518,55866.7541,268966.1902,172166.2951,145629.5869,41094.29508,149389.8492,48883.40984,49528.02623,150410.4918,12301.42951,41846.34754,46412.38033,35292.74754,52321.36393,102440.2885,40879.42295,22561.57377,22346.70164,54201.49508,8165.140983,49689.18033,14181.56066,3599.108197,99056.05246,67792.15738,25999.52787,47701.61312,51032.13115,27503.63279,27718.50492,37602.62295,60916.24918,46143.79016,31371.33115,443603.5148,13751.81639,22615.2918,38139.80328,23045.03607,37387.75082,32553.12787,30135.81639,17888.10492,40825.70492,147885.7443,35507.61967,22400.41967,13805.53443,11012.19672,15255.92131,9024.629508,33090.3082,17297.20656,44854.55738,18747.59344,16115.40984,6177.57377,22830.16393,33197.74426,29491.2,9830.4,28631.71147,22454.13771,10797.32459,7466.806557,23045.03606,16491.43607,19553.36393,10743.60656,11817.96721,10743.60656,11603.09508,9830.400001,8433.731146,13483.22623,11495.65902,6499.881966,4834.622951,4297.442623,6446.163935,6875.908198,3330.518032,3975.134425,376.0262295,1665.259016,3115.645902,3008.209837,859.488524,1665.259016,859.4885245,1987.567213,913.206557,1987.567214,537.180328,322.3081965,537.1803285,214.8721315,590.8983605,3169.363935,107.4360655,0,107.436066
