"","spot","Center","Area","Height","min_lab","spec_type","index"
"1","Spot 10_65_1_B",38,43378.59048,433785.9048,"s_rich","point",1
"2","Spot 10_65_1_B",39,1016510.171,10066017.52,"s_rich","point",2
"3","Spot 10_65_1_B",41,904864.9143,8901973.333,"s_rich","point",3
"4","Spot 10_65_1_B",43,778552.0762,5988742.095,"s_rich","point",4
"5","Spot 10_65_1_B",51,175620.8762,1736704,"s_rich","point",5
"6","Spot 10_65_1_B",55,598250.0571,4131888.762,"s_rich","point",6
"7","Spot 10_65_1_B",56,204721.981,780190.4762,"s_rich","point",7
"8","Spot 10_65_1_B",57,746564.2667,4127207.619,"s_rich","point",8
"9","Spot 10_65_1_B",58.1,142072.6857,1234261.333,"s_rich","point",9
"10","Spot 10_65_1_B",63,115390.1714,1143759.238,"s_rich","point",10
"11","Spot 10_65_1_B",65,215020.4952,2075306.667,"s_rich","point",11
"12","Spot 10_65_1_B",67,190132.419,1260787.81,"s_rich","point",12
"13","Spot 10_65_1_B",69.1,257150.781,1678969.905,"s_rich","point",13
"14","Spot 10_65_1_B",71.1,207764.7238,1513569.524,"s_rich","point",14
"15","Spot 10_65_1_B",73.1,231638.5524,1109430.857,"s_rich","point",15
"16","Spot 10_65_1_B",74,65223.92381,418182.0952,"s_rich","point",16
"17","Spot 10_65_1_B",77,239752.5333,2292199.619,"s_rich","point",17
"18","Spot 10_65_1_B",79,153931.581,1032972.19,"s_rich","point",18
"19","Spot 10_65_1_B",81.1,144491.2762,708412.9524,"s_rich","point",19
"20","Spot 10_65_1_B",84.1,29413.18095,210651.4286,"s_rich","point",20
"21","Spot 10_65_1_B",85.1,118120.8381,750543.2381,"s_rich","point",21
"22","Spot 10_65_1_B",86,45407.08571,238738.2857,"s_rich","point",22
"23","Spot 10_65_1_B",87,45641.14286,382293.3333,"s_rich","point",23
"24","Spot 10_65_1_B",91,171173.7905,1128155.429,"s_rich","point",24
"25","Spot 10_65_1_B",96,20597.02857,135753.1429,"s_rich","point",25
"26","Spot 10_65_1_B",98,46655.39048,298032.7619,"s_rich","point",26
"27","Spot 10_65_1_B",99,48605.86667,316757.3333,"s_rich","point",27
"28","Spot 10_65_1_B",102,40647.92381,285549.7143,"s_rich","point",28
"29","Spot 10_65_1_B",103,52038.70476,352646.0952,"s_rich","point",29
"30","Spot 10_65_1_B",105,90970.20952,496201.1429,"s_rich","point",30
"31","Spot 10_65_1_B",107,37137.06667,246540.1905,"s_rich","point",31
"32","Spot 10_65_1_B",108,27696.7619,109226.6667,"s_rich","point",32
"33","Spot 10_65_1_B",110,24497.98095,135753.1429,"s_rich","point",33
"34","Spot 10_65_1_B",111,59138.43809,360448,"s_rich","point",34
"35","Spot 10_65_1_B",112,13263.23809,99864.38095,"s_rich","point",35
"36","Spot 10_65_1_B",112.9,72011.58095,516486.0952,"s_rich","point",36
"37","Spot 10_65_1_B",114,16227.9619,112347.4286,"s_rich","point",37
"38","Spot 10_65_1_B",114.9,5539.352381,107666.2857,"s_rich","point",38
"39","Spot 10_65_1_B",115,116638.4762,809837.7143,"s_rich","point",39
"40","Spot 10_65_1_B",117,67486.47619,288670.4762,"s_rich","point",40
"41","Spot 10_65_1_B",118.1,32455.92381,166960.7619,"s_rich","point",41
"42","Spot 10_65_1_B",119,49620.11429,257462.8571,"s_rich","point",42
"43","Spot 10_65_1_B",121,56407.77143,241859.0476,"s_rich","point",43
"44","Spot 10_65_1_B",122,35108.57143,129511.6191,"s_rich","point",44
"45","Spot 10_65_1_B",123,31519.69524,173202.2857,"s_rich","point",45
"46","Spot 10_65_1_B",127,46343.31429,319878.0952,"s_rich","point",46
"47","Spot 10_65_1_B",128,76536.68571,394776.381,"s_rich","point",47
"48","Spot 10_65_1_B",129,61010.89524,226255.2381,"s_rich","point",48
"49","Spot 10_65_1_B",131,42520.38095,187245.7143,"s_rich","point",49
"50","Spot 10_65_1_B",132.9,417167.8476,3652851.81,"s_rich","point",50
"51","Spot 10_65_1_B",133.1,16071.92381,238738.2857,"s_rich","point",51
"52","Spot 10_65_1_B",134,35732.72381,152917.3333,"s_rich","point",52
"53","Spot 10_65_1_B",135.1,42052.26667,174762.6667,"s_rich","point",53
"54","Spot 10_65_1_B",137,30193.37143,132632.381,"s_rich","point",54
"55","Spot 10_65_1_B",139,46421.33333,291791.2381,"s_rich","point",55
"56","Spot 10_65_1_B",141,45407.08571,193487.2381,"s_rich","point",56
