"","unique(int_results_full$Center)"
"1",38
"2",39
"3",41
"4",43
"5",51
"6",55
"7",56
"8",57
"9",58.1
"10",63
"11",65
"12",67
"13",69.1
"14",71.1
"15",73.1
"16",74
"17",77
"18",79
"19",81.1
"20",84.1
"21",85.1
"22",86
"23",87
"24",91
"25",96
"26",98
"27",99
"28",102
"29",103
"30",105
"31",107
"32",108
"33",110
"34",111
"35",112
"36",112.9
"37",114
"38",114.9
"39",115
"40",117
"41",118.1
"42",119
"43",121
"44",122
"45",123
"46",127
"47",128
"48",129
"49",131
"50",132.9
"51",133.1
"52",134
"53",135.1
"54",137
"55",139
"56",141
"57",145
"58",146.1
"59",147.1
"60",149
"61",152
"62",153
"63",155
"64",157.1
"65",158.1
"66",159
"67",161
"68",163
"69",165.1
"70",171
"71",173
"72",175
"73",176
"74",176.9
"75",178.1
"76",184.1
"77",189
"78",191
"79",193
"80",196.1
"81",202.1
"82",203.1
"83",205
"84",213
"85",215.1
"86",217.1
"87",226
"88",228.1
"89",231.1
"90",237
"91",239.1
"92",257.1
"93",261
"94",263
"95",265.1
"96",272.1
"97",276
"98",281.1
"99",286.5
"100",287
"101",300
"102",302.1
"103",335.80001
"104",336.90001
"105",342.90001
"106",344.80001
"107",346.70001
"108",349.00001
"109",370.20001
"110",372.20001
"111",384.20001
"112",386.20001
"113",408.70001
"114",485.30001
"115",546.30001
"116",596.20001
"117",652.00001
"118",73
"119",95.9
"120",108.1
"121",111.9
"122",129.1
"123",165
"124",177
"125",205.1
"126",239
"127",257
"128",263.1
"129",272
"130",276.1
"131",286.6
"132",300.1
"133",335.90001
"134",342.80001
"135",348.80001
"136",370.40001
"137",384.30001
"138",386.40001
"139",408.80001
"140",546.50001
"141",86.1
"142",141.1
"143",157
"144",191.1
"145",226.1
"146",256.9
"147",265
"148",286.7
"149",302
"150",336.80001
"151",346.60001
"152",348.90001
"153",372.30001
"154",408.90001
"155",596.10001
"156",651.90001
"157",43.1
"158",55.1
"159",55.9
"160",57.1
"161",67.1
"162",79.1
"163",84
"164",91.1
"165",102.1
"166",103.1
"167",105.1
"168",107.1
"169",113
"170",115.1
"171",117.1
"172",127.1
"173",127.9
"174",128.9
"175",131.1
"176",136.9
"177",139.1
"178",144.9
"179",145.9
"180",149.1
"181",152.1
"182",153.1
"183",158
"184",160.9
"185",163.1
"186",176.1
"187",177.1
"188",189.1
"189",193.1
"190",196
"191",213.1
"192",230.9
"193",237.1
"194",256.8
"195",261.1
"196",271.8
"197",276.2
"198",286.8
"199",342.70001
"200",344.70001
"201",485.20001
