Dataset ID,Index,Area,Row Index,Beginning X,Ending X,FWHM,Center,Height
Spot 9_mz 55_6_B,1,203920.8585,511,50.9,51.2,0.100821483,51,2010836.293
Spot 9_mz 55_6_G,1,203930.2321,511,50.9,51.2,0.10042176,51,2024334.222
Spot 9_mz 55_6_R,1,169509.9685,511,50.9,51.2,0.10082245,51,1670063.461
Spot 9_mz 55_7_B,1,189497.9623,511,50.9,51.2,0.100748965,51,1872103.849
Spot 9_mz 55_7_G,1,172115.3085,511,50.9,51.2,0.100774707,51,1697826.712
Spot 9_mz 55_7_R,1,176682.4081,511,50.9,51.2,0.100628152,51,1750274.586
Spot 9_mz 55_8_B,1,125829.12,511,50.9,51.2,0.100689659,51,1240329.481
Spot 9_mz 55_8_G,1,98685.54521,511,50.9,51.2,0.100577635,51,977204.6027
Spot 9_mz 55_8_R,1,191345.2606,511,50.9,51.2,0.100447127,51,1896572.121
Spot 9_mz 55_9_B,1,182497.698,511,50.9,51.2,0.101017307,51,1793546.449
Spot 9_mz 55_9_G,1,181201.7548,511,50.9,51.2,0.100744748,51,1787441.548
Spot 9_mz 55_9_R,1,118873.4924,511,50.9,51.2,0.100828846,51,1172488.605
Spot 9_mz 55_10_B,1,132956.885,511,50.9,51.2,0.10094258,51,1306080.283
Spot 9_mz 55_10_G,1,99882.45854,511,50.9,51.2,0.101058084,51,977045.8537
Spot 9_mz 55_22_G,1,210948.0554,511,50.9,51.2,0.1008861,51,2073792.634
Spot 9_mz 55_23_R,1,97333.0963,511,50.9,51.2,0.105578512,51,885949.6296
Spot 9_mz 55_25_B,1,41335.05542,511,50.9,51.2,0.100582904,51,409007.8072
Spot 9_mz 55_27_G,1,174325.76,511,50.9,51.2,0.100954352,51,1714973.642
Spot 9_mz 55_46_G,1,55643.77358,511,50.9,51.2,0.100563826,51,551491.6226
Spot 9_mz 55_46_R,1,106466.2109,511,50.9,51.2,0.100801047,51,1049767.564
Spot 9_mz 55_47_B,1,133572.7158,511,50.9,51.2,0.100689734,51,1322792.421
Spot 9_mz 55_47_G,1,168723.0745,511,50.9,51.2,0.101097427,51,1657675.294
Spot 9_mz 55_49_R,1,173910.1659,511,50.9,51.2,0.100822653,51,1716723.512
Spot 9_mz 55_58_B,1,152396.4062,511,50.9,51.2,0.100673854,51,1506319.754
Spot 9_mz 55_58_G,1,184092.4444,511,50.9,51.2,0.100886808,51,1812252.444
Spot 9_mz 55_59_B,1,158764.9561,511,50.9,51.2,0.10079718,51,1566470.244
Spot 9_mz 55_59_G,1,210013.0909,511,50.9,51.2,0.100811594,51,2072129.164
Spot 9_mz 55_59_R,1,197992.5634,511,50.9,51.2,0.100787032,51,1950388.282
Spot 9_mz 55_61_G,1,186036.419,511,50.9,51.2,0.100488793,51,1845930.667
Spot 9_mz 55_61_R,1,193882.1664,511,50.9,51.2,0.100717468,51,1915043.115
Spot 9_mz 55_62_B,1,159088.64,511,50.9,51.2,0.100790172,51,1568768
Spot 9_mz 55_62_G,1,187706.8418,511,50.9,51.2,0.100422164,51,1861418.03
Spot 9_mz 55_62_R,1,252239.1273,511,50.9,51.2,0.100815857,51,2485154.909
Spot 9_mz 55_63_G,1,148212.1846,511,50.9,51.2,0.100448111,51,1470022.892
Spot 9_mz 55_64_B,1,105226.24,511,50.9,51.2,0.100713973,51,1040384
Spot 9_mz 55_65_G,1,143215.4353,511,50.9,51.2,0.100616438,51,1415770.353
Spot 9_mz 55_65_R,1,105344.6919,511,50.9,51.2,0.102542121,51,1003409.297
Spot 9_mz 55_69_G,1,176335.5307,511,50.9,51.2,0.101317617,51,1718790.827
Spot 9_mz 55_69_R,1,133989.1512,511,50.9,51.2,0.10120833,51,1309920.78
Spot 9_mz 55_72_G,1,247017.3767,511,50.9,51.2,0.100997647,51,2430166.326
Spot 9_mz 55_73_B,1,95282.53506,511,50.9,51.2,0.100729345,51,940484.1558
Spot 9_mz 55_73_G,1,151355.392,511,50.9,51.2,0.101092938,51,1485701.12
Spot 9_mz 55_74_R,1,174717.1556,511,50.9,51.2,0.100798836,51,1723050.667
Spot 9_mz 55_75_B,1,142401.3617,511,50.9,51.2,0.100955692,51,1400657.702
Spot 9_mz 55_77_B,1,175457.7455,511,50.9,51.2,0.100847659,51,1728512
Spot 9_mz 55_77_G,1,154701.3689,511,50.9,51.2,0.100696758,51,1526260.622
Spot 9_mz 55_78_B,1,173885.2721,511,50.9,51.2,0.10128355,51,1697489.836
Spot 9_mz 55_78_G,1,154701.3689,511,50.9,51.2,0.100696758,51,1526260.622
Spot 9_mz 55_78_R,1,126645.4456,511,50.9,51.2,0.101205247,51,1237135.719
Spot 9_mz 55_79_B,1,109266.3855,511,50.9,51.2,0.100671272,51,1077173.527
Spot 9_mz 55_79_G,1,128373.4588,511,50.9,51.2,0.100809185,51,1263495.529
Spot 9_mz 55_79_R,1,135269.2494,511,50.9,51.2,0.100750696,51,1334283.506
Spot 9_mz 55_81_B,1,182080.8533,511,50.9,51.2,0.100864481,51,1788404.622
Spot 9_mz 55_81_G,1,149003.3778,511,50.9,51.2,0.101010758,51,1459086.222
Spot 9_mz 55_84_G,1,197828.7686,511,50.9,51.2,0.10066221,51,1954514.824
Spot 9_mz 55_85_B,1,135359.7277,511,50.9,51.2,0.100708854,51,1337213.277
Spot 9_mz 55_85_G,1,168293.0872,511,50.9,51.2,0.101000423,51,1654363.897
Spot 9_mz 55_85_R,1,125945.9168,511,50.9,51.2,0.100790588,51,1241939.644
Spot 9_mz 55_89_G,1,94153.38667,511,50.9,51.2,0.10094962,51,929154.8444
