Dataset ID,Index,Area,Row Index,Beginning X,Ending X,FWHM,Center,Height
Spot 15_23_27_B,1,51323.37349,381,37.9,38.1,0.05,38,510864.9639
Spot 15_23_27_G,1,52838.4,381,37.9,38.1,0.05,38,527564.8
Spot 15_23_85_G,1,47213.61127,381,37.9,38.1,0.050295858,38,470751.5493
Spot 15_23_85_R,1,47111.7283,381,37.9,38.1,0.0501321,38,469262.4906
Spot 15_23_86_B,1,44087.85455,381,37.9,38.1,0.05,38,440878.5455
Spot 15_23_86_G,1,44985.78286,381,37.9,38.1,0.05,38,448453.4857
Spot 15_23_86_R,1,46470.98182,381,37.9,38.1,0.050092081,38,463007.5844
Spot 15_23_87_B,1,52342.56842,381,37.9,38.1,0.050082781,38,521701.0526
Spot 15_23_87_G,1,49425.06667,381,37.9,38.1,0.050069252,38,493568
Spot 15_23_87_R,1,43992.78298,381,37.9,38.1,0.050159744,38,437836.2553
Spot 15_23_162_B,1,44427.31163,381,37.9,38.1,0.05017301,38,441986.9767
Spot 15_23_163_B,1,51268.26667,381,37.9,38.1,0.05013369,38,512000
Spot 15_23_163_G,1,49456.8186,381,37.9,38.1,0.05,38,493806.1395
Spot 15_23_163_R,1,52206.64407,381,37.9,38.1,0.050106838,38,520955.661
Spot 15_23_164_B,1,49756.94769,381,37.9,38.1,0.050306748,38,496057.1077
Spot 15_23_164_G,1,52270.88193,381,37.9,38.1,0.050075758,38,521919.2289
Spot 15_23_164_R,1,51738.94737,381,37.9,38.1,0.050167504,38,516527.1579
Spot 15_23_165_B,1,55523.55556,381,37.9,38.1,0.05,38,555235.5556
Spot 15_23_165_G,1,53885.15556,381,37.9,38.1,0.050084746,38,537941.3333
Spot 15_23_165_R,1,46214.17931,381,37.9,38.1,0.05012285,38,461011.8621
Spot 15_23_166_B,1,53679.94182,381,37.9,38.1,0.050223714,38,535012.0727
Spot 15_23_166_G,1,55526.86545,381,37.9,38.1,0.05,38,554077.0909
Spot 15_23_166_R,1,49542.09524,381,37.9,38.1,0.050158228,38,494640.7619
Spot 15_23_167_B,1,51108.97778,381,37.9,38.1,0.05,38,510634.6667
Spot 15_23_167_G,1,51336.53333,381,37.9,38.1,0.05,38,512455.1111
Spot 15_23_167_R,1,51258.51429,381,37.9,38.1,0.050091743,38,511180.8
Spot 15_23_168_B,1,54110.31579,381,37.9,38.1,0.05,38,539809.6842
Spot 15_23_168_G,1,54476.8,381,37.9,38.1,0.050083893,38,543402.6667
Spot 15_23_168_R,1,54431.28889,381,37.9,38.1,0.050083893,38,543402.6667
Spot 15_23_169_B,1,49058.37714,381,37.9,38.1,0.050191939,38,489647.5429
Spot 15_23_169_G,1,55892.84571,381,37.9,38.1,0.05,38,558928.4571
Spot 15_23_169_R,1,50244.26667,381,37.9,38.1,0.05,38,501532.4444
Spot 15_23_171_B,1,40914.48889,381,37.9,38.1,0.050111607,38,408689.7778
Spot 15_23_171_G,1,38116.34023,381,37.9,38.1,0.0503,38,378903.5402
Spot 15_23_171_R,1,34588.44444,381,37.9,38.1,0.05,38,344974.2222
Spot 15_23_172_B,1,47789.73483,381,37.9,38.1,0.050077519,38,475688.2697
